Event,Country,Athlete,Sport,Gold,Silver,Bronze
Beijing 2022,GER,Francesco Friedrich,Bobsleigh,1,0,0
Beijing 2022,BEL,Bart Swings,Speed skating,1,0,0
Beijing 2022,FIN,Ville Pokka,Ice Hockey,1,0,0
Beijing 2022,CHN,Dajing Wu,Short Track Speed Skating,1,0,0
Beijing 2022,CAN,Marie-Philip Poulin,Ice Hockey,1,0,0
Beijing 2022,USA,Ashley Caldwell,Freestyle Skiing,1,0,0
Beijing 2022,NED,Selma Poutsma,Short Track Speed Skating,1,0,0
Beijing 2022,NOR,Espen Andersen,Nordic Combined,1,0,0
Beijing 2022,GER,Victoria Carl,Cross Country Skiing,1,0,0
Beijing 2022,FRA,Gabriella Papadakis,Figure skating,1,0,0
Beijing 2022,JPN,Miho Takagi,Speed skating,1,0,0
Beijing 2022,GER,Hannah Neise,Skeleton,1,0,0
Beijing 2022,ROC,Alexey Chervotkin,Cross Country Skiing,1,0,0
Beijing 2022,SUI,Corinne Suter,Alpine Skiing,1,0,0
Beijing 2022,USA,Lindsey Jacobellis,Snowboard,1,0,0
Beijing 2022,CHN,Ailing Eileen Gu,Freestyle Skiing,1,0,0
Beijing 2022,GBR,Hailey Duff,Curling,1,0,0
Beijing 2022,ROC,Natalia Nepryaeva,Cross Country Skiing,1,0,0
Beijing 2022,FIN,Toni Rajala,Ice Hockey,1,0,0
Beijing 2022,SWE,Rasmus Wranå,Curling,1,0,0
Beijing 2022,CAN,Erin Ambrose,Ice Hockey,1,0,0
Beijing 2022,CAN,Sarah Fillier,Ice Hockey,1,0,0
Beijing 2022,HUN,Shaoang Liu,Short Track Speed Skating,1,0,0
Beijing 2022,CAN,Emerance Maschmeyer,Ice Hockey,1,0,0
Beijing 2022,GBR,Eve Muirhead,Curling,1,0,0
Beijing 2022,NOR,Johannes Thingnes Boe,Biathlon,1,0,0
Beijing 2022,NED,Irene Schouten,Speed skating,1,0,0
Beijing 2022,AUT,Matthias Mayer,Alpine Skiing,1,0,0
Beijing 2022,FIN,Teemu Hartikainen,Ice Hockey,1,0,0
Beijing 2022,NOR,Marius Lindvik,Ski Jumping,1,0,0
Beijing 2022,ROC,Anna Shcherbakova,Figure skating,1,0,0
Beijing 2022,CHN,Yiming Su,Snowboard,1,0,0
Beijing 2022,USA,Madison Hubbell,Figure skating,1,0,0
Beijing 2022,SWE,Niklas Edin,Curling,1,0,0
Beijing 2022,USA,Kaillie Humphries,Bobsleigh,1,0,0
Beijing 2022,NOR,Vetle Sjaastad Christiansen,Biathlon,1,0,0
Beijing 2022,CAN,Ivanie Blondin,Speed skating,1,0,0
Beijing 2022,FIN,Juuso Hietanen,Ice Hockey,1,0,0
Beijing 2022,SWE,Hanna Oeberg,Biathlon,1,0,0
Beijing 2022,SLO,Ursa Bogataj,Ski Jumping,1,0,0
Beijing 2022,ROC,Alexander Bolshunov,Cross Country Skiing,1,0,0
Beijing 2022,NED,Ireen Wüst,Speed skating,1,0,0
Beijing 2022,CAN,Kristen Campbell,Ice Hockey,1,0,0
Beijing 2022,SWE,Sara Hector,Alpine Skiing,1,0,0
Beijing 2022,CHN,Chunyu Qu,Short Track Speed Skating,1,0,0
Beijing 2022,FIN,Saku Maenalanen,Ice Hockey,1,0,0
Beijing 2022,USA,Zachary Donohue,Figure skating,1,0,0
Beijing 2022,FRA,Guillaume Cizeron,Figure skating,1,0,0
Beijing 2022,CAN,Ashton Bell,Ice Hockey,1,0,0
Beijing 2022,CHN,Wenjing Sui,Figure skating,1,0,0
Beijing 2022,CAN,Mikael Kingsbury,Freestyle Skiing,0,1,0
Beijing 2022,ROC,Victoria Sinitsina,Figure skating,0,1,0
Beijing 2022,ROC,Andrei Chibisov,Ice Hockey,0,1,0
Beijing 2022,GER,Katherine Sauerbrey,Cross Country Skiing,0,1,0
Beijing 2022,FRA,Fabien Claude,Biathlon,0,1,0
Beijing 2022,ROC,Sergei Telegin,Ice Hockey,0,1,0
Beijing 2022,ROC,Damir Sharipzianov,Ice Hockey,0,1,0
Beijing 2022,ROC,Daniil Aldoshkin,Speed skating,0,1,0
Beijing 2022,SLO,Zan Kranjec,Alpine Skiing,0,1,0
Beijing 2022,ITA,Pietro Sighel,Short Track Speed Skating,0,1,0
Beijing 2022,AUS,Scotty James,Snowboard,0,1,0
Beijing 2022,ROC,Artem Minulin,Ice Hockey,0,1,0
Beijing 2022,GER,Sascha Benecken,Luge,0,1,0
Beijing 2022,GER,Lena Duerr,Alpine Skiing,0,1,0
Beijing 2022,JPN,Tim Koleto,Figure skating,0,1,0
Beijing 2022,USA,Abbey Murphy,Ice Hockey,0,1,0
Beijing 2022,JPN,Yumi Suzuki,Curling,0,1,0
Beijing 2022,ROC,Vyacheslav Voynov,Ice Hockey,0,1,0
Beijing 2022,ROC,Irina Kazakevich,Biathlon,0,1,0
Beijing 2022,CHN,Wenlong Li,Short Track Speed Skating,0,1,0
Beijing 2022,USA,Alex Carpenter,Ice Hockey,0,1,0
Beijing 2022,GER,Julian Schmid,Nordic Combined,0,1,0
Beijing 2022,GER,Christopher Weber,Bobsleigh,0,1,0
Beijing 2022,ROC,Ivan Yakimushkin,Cross Country Skiing,0,1,0
Beijing 2022,FRA,Johan Clarey,Alpine Skiing,0,1,0
Beijing 2022,FRA,Emilien Jacquelin,Biathlon,0,1,0
Beijing 2022,AUT,Madeleine Egle,Luge,0,1,0
Beijing 2022,KOR,Yubin Lee,Short Track Speed Skating,0,1,0
Beijing 2022,FRA,Tess Ledeux,Freestyle Skiing,0,1,0
Beijing 2022,ROC,Svetlana Mironova,Biathlon,0,1,0
Beijing 2022,ROC,Anton Slepyshev,Ice Hockey,0,1,0
Beijing 2022,USA,Hayley Scamurra,Ice Hockey,0,1,0
Beijing 2022,KOR,Yoongy Kwak,Short Track Speed Skating,0,1,0
Beijing 2022,ROC,Konstantin Ivliev,Short Track Speed Skating,0,1,0
Beijing 2022,SLO,Tim Mastnak,Snowboard,0,1,0
Beijing 2022,USA,Nicholas Goepper,Freestyle Skiing,0,1,0
Beijing 2022,ROC,Irina Avvakumova,Ski Jumping,0,1,0
Beijing 2022,USA,Cayla Barnes,Ice Hockey,0,1,0
Beijing 2022,USA,Hannah Brandt,Ice Hockey,0,1,0
Beijing 2022,ROC,Evgeniy Klimov,Ski Jumping,0,1,0
Beijing 2022,JPN,Wakaba Higuchi,Figure skating,0,1,0
Beijing 2022,CHN,Zongyang Jia,Freestyle Skiing,0,1,0
Beijing 2022,ROC,Sergei Plotnikov,Ice Hockey,0,1,0
Beijing 2022,UKR,Oleksandr Abramenko,Freestyle Skiing,0,1,0
Beijing 2022,ROC,Nikita Gusev,Ice Hockey,0,1,0
Beijing 2022,ROC,Ivan Fedotov,Ice Hockey,0,1,0
Beijing 2022,USA,Hilary Knight,Ice Hockey,0,1,0
Beijing 2022,JPN,Yuma Kagiyama,Figure skating,0,1,0
Beijing 2022,JPN,Ryuichi Kihara,Figure skating,0,1,0
Beijing 2022,AUT,Lorenz Koller,Luge,0,1,0
Beijing 2022,SWE,Maja Dahlqvist,Cross Country Skiing,0,1,0
Beijing 2022,USA,Megan Bozek,Ice Hockey,0,1,0
Beijing 2022,GBR,Ross Whyte,Curling,0,1,0
Beijing 2022,BLR,Anton Smolski,Biathlon,0,1,0
Beijing 2022,ROC,Stanislav Galiev,Ice Hockey,0,1,0
Beijing 2022,KOR,Min Kyu Cha,Speed skating,0,1,0
Beijing 2022,USA,Lee Stecklein,Ice Hockey,0,1,0
Beijing 2022,USA,Kendall Coyne,Ice Hockey,0,1,0
Beijing 2022,ROC,Mikhail Grigorenko,Ice Hockey,0,1,0
Beijing 2022,JPN,Kotomi Ishizaki,Curling,0,1,0
Beijing 2022,ROC,Evgenia Tarasova,Figure skating,0,1,0
Beijing 2022,ROC,Timur Bilialov,Ice Hockey,0,1,0
Beijing 2022,GER,Linus Strasser,Alpine Skiing,0,1,0
Beijing 2022,USA,Jesse Compher,Ice Hockey,0,1,0
Beijing 2022,SWE,Martin Ponsiluoma,Biathlon,0,1,0
Beijing 2022,GER,Katharina Althaus,Ski Jumping,0,1,0
Beijing 2022,ESP,Queralt Castellet,Snowboard,0,1,0
Beijing 2022,GER,Eric Frenzel,Nordic Combined,0,1,0
Beijing 2022,USA,Jessica Diggins,Cross Country Skiing,0,1,0
Beijing 2022,NOR,Paal Golberg,Cross Country Skiing,0,1,0
Beijing 2022,USA,Julia Marino,Snowboard,0,1,0
Beijing 2022,USA,David Wise,Freestyle Skiing,0,1,0
Beijing 2022,ROC,Alexander Elesin,Ice Hockey,0,1,0
Beijing 2022,GER,Alexandra Burghardt,Bobsleigh,0,1,0
Beijing 2022,NOR,Magnus Nedregotten,Curling,0,1,0
Beijing 2022,NOR,Hans Christer Holund,Cross Country Skiing,0,1,0
Beijing 2022,AUT,Wolfgang Kindl,Luge,0,1,0
Beijing 2022,CAN,Laurent Dubreuil,Speed skating,0,1,0
Beijing 2022,JPN,Riku Miura,Figure skating,0,1,0
Beijing 2022,ROC,Ruslan Zakharov,Speed skating,0,1,0
Beijing 2022,JPN,Yurika Yoshida,Curling,0,1,0
Beijing 2022,FIN,Joni Maeki,Cross Country Skiing,0,1,0
Beijing 2022,GBR,Bruce Mouat,Curling,0,1,0
Beijing 2022,GER,Alexander Schmid,Alpine Skiing,0,1,0
Beijing 2022,ROC,Alexandra Trusova,Figure skating,0,1,0
Beijing 2022,USA,Abby Roque,Ice Hockey,0,1,0
Beijing 2022,ROC,Danil Sadreev,Ski Jumping,0,1,0
Beijing 2022,KOR,Alang Kim,Short Track Speed Skating,0,1,0
Beijing 2022,JPN,Misato Komatsubara,Figure skating,0,1,0
Beijing 2022,ITA,Martina Valcepina,Short Track Speed Skating,0,1,0
Beijing 2022,ROC,Kirill Semenov,Ice Hockey,0,1,0
Beijing 2022,ROC,Aleksandr Nikishin,Ice Hockey,0,1,0
Beijing 2022,FIN,Kerttu Niskanen,Cross Country Skiing,0,1,0
Beijing 2022,ITA,Francesca Lollobrigida,Speed skating,0,1,0
Beijing 2022,USA,Jincy Dunne,Ice Hockey,0,1,0
Beijing 2022,AUT,Daniela Ulbing,Snowboard,0,1,0
Beijing 2022,NOR,Mons Roisland,Snowboard,0,1,0
Beijing 2022,USA,Kelly Pannek,Ice Hockey,0,1,0
Beijing 2022,NOR,Kristin Skaslien,Curling,0,1,0
Beijing 2022,GER,Christian Rasp,Bobsleigh,0,1,0
Beijing 2022,ROC,Nikita Nesterov,Ice Hockey,0,1,0
Beijing 2022,USA,Jaelin Kauf,Freestyle Skiing,0,1,0
Beijing 2022,JPN,Kaori Sakamoto,Figure skating,0,1,0
Beijing 2022,ROC,Nikita Katsalapov,Figure skating,0,1,0
Beijing 2022,GER,Anna Berreiter,Luge,0,1,0
Beijing 2022,SLO,Cene Prevc,Ski Jumping,0,1,0
Beijing 2022,USA,Ryan Cochran-Siegle,Alpine Skiing,0,1,0
Beijing 2022,CAN,Cassie Sharpe,Freestyle Skiing,0,1,0
Beijing 2022,ROC,Egor Iakovlev,Ice Hockey,0,1,0
Beijing 2022,ITA,Arianna Valcepina,Short Track Speed Skating,0,1,0
Beijing 2022,ROC,Kristina Reztsova,Biathlon,0,1,0
Beijing 2022,ITA,Omar Visintin,Snowboard,0,1,0
Beijing 2022,USA,Maddie Rooney,Ice Hockey,0,1,0
Beijing 2022,JPN,Satsuki Fujisawa,Curling,0,1,0
Beijing 2022,ITA,Yuri Confortola,Short Track Speed Skating,0,1,0
Beijing 2022,NED,Patrick Roest,Speed skating,0,1,0
Beijing 2022,USA,Nicole Hensley,Ice Hockey,0,1,0
Beijing 2022,NOR,Emil Iversen,Cross Country Skiing,0,1,0
Beijing 2022,KOR,Dongwook Kim,Short Track Speed Skating,0,1,0
Beijing 2022,ITA,Federico Pellegrino,Cross Country Skiing,0,1,0
Beijing 2022,GER,Emma Aicher,Alpine Skiing,0,1,0
Beijing 2022,JPN,Ayano Sato,Speed skating,0,1,0
Beijing 2022,GER,Toni Eggert,Luge,0,1,0
Beijing 2022,NED,Jutta Leerdam,Speed skating,0,1,0
Beijing 2022,KOR,Jaewon Chung,Speed skating,0,1,0
Beijing 2022,ROC,Vadim Shipachyov,Ice Hockey,0,1,0
Beijing 2022,GBR,Grant Hardie,Curling,0,1,0
Beijing 2022,GER,Johannes Lochner,Bobsleigh,0,1,0
Beijing 2022,FRA,Anais Chevalier,Biathlon,0,1,0
Beijing 2022,ITA,Sofia Goggia,Alpine Skiing,0,1,0
Beijing 2022,GER,Manuel Faisst,Nordic Combined,0,1,0
Beijing 2022,JPN,Shoma Uno,Figure skating,0,1,0
Beijing 2022,JPN,Chinami Yoshida,Curling,0,1,0
Beijing 2022,FRA,Julia Simon,Biathlon,0,1,0
Beijing 2022,FRA,Chloe Trespeuch,Snowboard,0,1,0
Beijing 2022,ROC,Vladimir Morozov,Figure skating,0,1,0
Beijing 2022,KOR,Juneseo Lee,Short Track Speed Skating,0,1,0
Beijing 2022,ROC,Dmitrii Voronkov,Ice Hockey,0,1,0
Beijing 2022,AUT,Thomas Steu,Luge,0,1,0
Beijing 2022,ROC,Aleksandr Samonov,Ice Hockey,0,1,0
Beijing 2022,ROC,Uliana Nigmatullina,Biathlon,0,1,0
Beijing 2022,USA,Grace Zumwinkle,Ice Hockey,0,1,0
Beijing 2022,NOR,Aleksander Aamodt Kilde,Alpine Skiing,0,1,0
Beijing 2022,USA,Caroline Harvey,Ice Hockey,0,1,0
Beijing 2022,GER,Axel Jungk,Skeleton,0,1,0
Beijing 2022,KOR,Janghyuk Park,Short Track Speed Skating,0,1,0
Beijing 2022,GBR,Hammy Mcmillan,Curling,0,1,0
Beijing 2022,USA,Amanda Kessel,Ice Hockey,0,1,0
Beijing 2022,GER,Julian Rauchfuss,Alpine Skiing,0,1,0
Beijing 2022,SUI,Wendy Holdener,Alpine Skiing,0,1,0
Beijing 2022,ITA,Michela Moioli,Snowboard,0,1,0
Beijing 2022,USA,Megan Keller,Ice Hockey,0,1,0
Beijing 2022,GER,Sofie Krehl,Cross Country Skiing,0,1,0
Beijing 2022,ROC,Artur Kayumov,Ice Hockey,0,1,0
Beijing 2022,CAN,Eliot Grondin,Snowboard,0,1,0
Beijing 2022,ITA,Andrea Cassinelli,Short Track Speed Skating,0,1,0
Beijing 2022,KOR,Whi Min Seo,Short Track Speed Skating,0,1,0
Beijing 2022,ROC,Irma Makhinia,Ski Jumping,0,1,0
Beijing 2022,SUI,Alex Fiva,Freestyle Skiing,0,1,0
Beijing 2022,AUS,Jackie Narracott,Skeleton,0,1,0
Beijing 2022,USA,Savannah Harmon,Ice Hockey,0,1,0
Beijing 2022,AUT,Mirjam Puchner,Alpine Skiing,0,1,0
Beijing 2022,ROC,Sergey Trofimov,Speed skating,0,1,0
Beijing 2022,USA,Elana Meyers Taylor,Bobsleigh,0,1,0
Beijing 2022,ROC,Sergei Andronov,Ice Hockey,0,1,0
Beijing 2022,ITA,Federica Brignone,Alpine Skiing,0,1,0
Beijing 2022,ROC,Arseniy Gritsyuk,Ice Hockey,0,1,0
Beijing 2022,ROC,Pavel Karnaukhov,Ice Hockey,0,1,0
Beijing 2022,JPN,Nana Takagi,Speed skating,0,1,0
Beijing 2022,GBR,Bobby Lammie,Curling,0,1,0
Beijing 2022,GER,Florian Bauer,Bobsleigh,0,1,0
Beijing 2022,USA,Brianna Decker,Ice Hockey,0,1,0
Beijing 2022,SLO,Lovro Kos,Ski Jumping,0,1,0
Beijing 2022,USA,Dani Cameranesi,Ice Hockey,0,1,0
Beijing 2022,ROC,Vladimir Tkachev,Ice Hockey,0,1,0
Beijing 2022,CAN,Marielle Thompson,Freestyle Skiing,0,1,0
Beijing 2022,GER,Mariama Jamanka,Bobsleigh,0,1,0
Beijing 2022,USA,Colby Stevenson,Freestyle Skiing,0,1,0
Beijing 2022,FRA,Simon Desthieux,Biathlon,0,1,0
Beijing 2022,USA,Alex Cavallini,Ice Hockey,0,1,0
Beijing 2022,BLR,Hanna Huskova,Freestyle Skiing,0,1,0
Beijing 2022,GER,Franziska Preuss,Biathlon,0,0,1
Beijing 2022,CHN,Yutong Han,Short Track Speed Skating,0,0,1
Beijing 2022,ROC,Ilia Burov,Freestyle Skiing,0,0,1
Beijing 2022,CAN,Mark Nichols,Curling,0,0,1
Beijing 2022,FIN,Eveliina Makinen,Ice Hockey,0,0,1
Beijing 2022,CAN,Brad Gushue,Curling,0,0,1
Beijing 2022,HUN,Shaolin Liu,Short Track Speed Skating,0,0,1
Beijing 2022,CAN,Marion Thenault,Freestyle Skiing,0,0,1
Beijing 2022,CAN,Abigail Strate,Ski Jumping,0,0,1
Beijing 2022,CAN,Mark Mcmorris,Snowboard,0,0,1
Beijing 2022,JPN,Wataru Morishige,Speed skating,0,0,1
Beijing 2022,FIN,Ronja Savolainen,Ice Hockey,0,0,1
Beijing 2022,SVK,Libor Hudacek,Ice Hockey,0,0,1
