Event,Country,Athlete,Sport,Gold,Silver,Bronze
Los Angeles 1984,NED,Carina Benninga,Hockey,1,0,0
Los Angeles 1984,GBR,Sebastian Coe,Athletics,1,0,0
Los Angeles 1984,NZL,Christopher Paul Mac Donald,Canoe Sprint,1,0,0
Los Angeles 1984,POR,Carlos Lopes,Athletics,1,0,0
Los Angeles 1984,MAR,Said Aouita,Athletics,1,0,0
Los Angeles 1984,USA,Patrick Robert Powers,Volleyball,1,0,0
Los Angeles 1984,FRA,Jean Philippe Rohr,Football,1,0,0
Los Angeles 1984,NED,Maria Yolanda C. Bolhuis-Eijsvogel,Hockey,1,0,0
Los Angeles 1984,YUG,Veselin Djuho,Water Polo,1,0,0
Los Angeles 1984,FRG,Ute Kircheis-Wessel,Fencing,1,0,0
Los Angeles 1984,USA,Lawrence Bruce Hayes,Swimming,1,0,0
Los Angeles 1984,ROU,Mihaela Stanulet,Gymnastics Artistic,1,0,0
Los Angeles 1984,ROU,Ivan Patzaichin,Canoe Sprint,1,0,0
Los Angeles 1984,USA,Melanie Ashworth Smith,Equestrian Jumping,1,0,0
Los Angeles 1984,ROU,Ecaterina Szabo,Gymnastics Artistic,1,0,0
Los Angeles 1984,NZL,Marcus James Todd,Equestrian Eventing,1,0,0
Los Angeles 1984,USA,Al Joyner,Athletics,1,0,0
Los Angeles 1984,FIN,Pertti Karppinen,Rowing,1,0,0
Los Angeles 1984,USA,Shyril O'Steen,Rowing,1,0,0
Los Angeles 1984,GBR,Daley Thompson,Athletics,1,0,0
Los Angeles 1984,USA,Connie Carpenter,Cycling Road,1,0,0
Los Angeles 1984,ITA,Claudio Vandelli,Cycling Road,1,0,0
Los Angeles 1984,FRG,Dieter Wiedenmann,Rowing,1,0,0
Los Angeles 1984,ROU,Petre Becheru,Weightlifting,1,0,0
Los Angeles 1984,USA,Aldis Imants Berzins,Volleyball,1,0,0
Los Angeles 1984,AUS,Jonathan Sieben,Swimming,1,0,0
Los Angeles 1984,USA,Paul Garza Jr. Gonzalez,Boxing,1,0,0
Los Angeles 1984,YUG,Saban Trstena,Wrestling,1,0,0
Los Angeles 1984,USA,Cindy Jo. Noble,Basketball,1,0,0
Los Angeles 1984,CHN,Shu-De Wu,Weightlifting,1,0,0
Los Angeles 1984,FRA,Jean Louis Zanon,Football,1,0,0
Los Angeles 1984,ROU,Anișoara Stanciu-Cușmir,Athletics,1,0,0
Los Angeles 1984,YUG,Zlatan Arnautovic,Handball,1,0,0
Los Angeles 1984,USA,Richard Erwin Saeger,Swimming,1,0,0
Los Angeles 1984,ITA,Gabriella Dorio,Athletics,1,0,0
Los Angeles 1984,ROU,Agafia Orlov-Buhaev,Canoe Sprint,1,0,0
Los Angeles 1984,AUS,Michael Turtur,Cycling Track,1,0,0
Los Angeles 1984,ROU,Vasile Andrei,Wrestling,1,0,0
Los Angeles 1984,USA,Darrell Owen Pace,Archery,1,0,0
Los Angeles 1984,NED,Josephine Boekhorst,Hockey,1,0,0
Los Angeles 1984,ESP,Luis Doreste,Sailing,1,0,0
Los Angeles 1984,YUG,Mirjana Djurica,Handball,1,0,0
Los Angeles 1984,FRA,Guy Lacombe,Football,1,0,0
Los Angeles 1984,ITA,Giuseppe Abbagnale,Rowing,1,0,0
Los Angeles 1984,CHN,Rong-Fang Zhang,Volleyball,1,0,0
Los Angeles 1984,USA,Christopher Carl Cavanaugh,Swimming,1,0,0
Los Angeles 1984,PAK,Ishtiaq Ahmed,Hockey,1,0,0
Los Angeles 1984,JPN,Hideaki Tomiyama,Wrestling,1,0,0
Los Angeles 1984,FRA,Philippe Boisse,Fencing,1,0,0
Los Angeles 1984,USA,Jill Sterkel,Swimming,1,0,0
Los Angeles 1984,ROU,Nicu Vlad,Weightlifting,1,0,0
Los Angeles 1984,FIN,Jouko Salomaki,Wrestling,1,0,0
Los Angeles 1984,ITA,Stefano Cerioni,Fencing,1,0,0
Los Angeles 1984,USA,Jonathan Dunn Mckee,Sailing,1,0,0
Los Angeles 1984,FRG,Gerhard Heer,Fencing,1,0,0
Los Angeles 1984,FRG,Fredy Schmidtke,Cycling Track,1,0,0
Los Angeles 1984,JPN,Takeo Kamachi,Shooting,1,0,0
Los Angeles 1984,ROU,Maria Tanasa-Fricioiu,Rowing,1,0,0
Los Angeles 1984,USA,Alonzo C. Babers,Athletics,1,0,0
Los Angeles 1984,YUG,Svetlana Mugosa-Antit,Handball,1,0,0
Los Angeles 1984,PAK,Khalid Hamid,Hockey,1,0,0
Los Angeles 1984,FRG,Uwe Sauer,Equestrian Dressage,1,0,0
Los Angeles 1984,USA,Meldrick Taylor,Boxing,1,0,0
Los Angeles 1984,USA,Jenna Leigh Johnson,Swimming,1,0,0
Los Angeles 1984,YUG,Slobodan Kuzmanovski,Handball,1,0,0
Los Angeles 1984,ROU,Chira Apostol,Rowing,1,0,0
Los Angeles 1984,FRG,Claudia Losch,Athletics,1,0,0
Los Angeles 1984,CAN,Dean Crawford,Rowing,1,0,0
Los Angeles 1984,ITA,Angelo Scuri,Fencing,1,0,0
Los Angeles 1984,USA,Timothy Patrick Daggett,Gymnastics Artistic,1,0,0
Los Angeles 1984,BEL,Roger Ilegems,Cycling Track,1,0,0
Los Angeles 1984,USA,Calvin Smith,Athletics,1,0,0
Los Angeles 1984,CHN,Ling Zhu,Volleyball,1,0,0
Los Angeles 1984,AUS,Michael Grenda,Cycling Track,1,0,0
Los Angeles 1984,USA,Ronald James Brown,Athletics,1,0,0
Los Angeles 1984,JPN,Koji Gushiken,Gymnastics Artistic,1,0,0
Los Angeles 1984,USA,Steven D. Mccrory,Boxing,1,0,0
Los Angeles 1984,USA,Frank Tate,Boxing,1,0,0
Los Angeles 1984,CAN,Lawrence Cain,Canoe Sprint,1,0,0
Los Angeles 1984,YUG,Slavica Djukic,Handball,1,0,0
Los Angeles 1984,FRG,Albert Hedderich,Rowing,1,0,0
Los Angeles 1984,YUG,Vlado Lisjak,Wrestling,1,0,0
Los Angeles 1984,PAK,Qasim Zia,Hockey,1,0,0
Los Angeles 1984,USA,Peter Glen Vidmar,Gymnastics Artistic,1,0,0
Los Angeles 1984,ITA,Carmine Abbagnale,Rowing,1,0,0
Los Angeles 1984,USA,Tyrell Biggs,Boxing,1,0,0
Los Angeles 1984,USA,Tracie Lehuanani Ruiz-Conforto,Synchronized Swimming,1,0,0
Los Angeles 1984,FRA,Jean Christophe Thouvenel,Football,1,0,0
Los Angeles 1984,USA,Ambrose Iv Gaines,Swimming,1,0,0
Los Angeles 1984,ITA,Maurizio Stecca,Boxing,1,0,0
Los Angeles 1984,USA,Lynette Woodard,Basketball,1,0,0
Los Angeles 1984,FIN,Arto Harkonen,Athletics,1,0,0
Los Angeles 1984,FRA,Michel Bibard,Football,1,0,0
Los Angeles 1984,NED,Alexandra Le Poole,Hockey,1,0,0
Los Angeles 1984,USA,Jeanne Ann Flanagan,Rowing,1,0,0
Los Angeles 1984,USA,Mark Anthony Breland,Boxing,1,0,0
Los Angeles 1984,USA,Pablo Morales,Swimming,1,0,0
Los Angeles 1984,ROU,Sofia Corban,Rowing,1,0,0
Los Angeles 1984,ITA,Giuseppe Di Capua,Rowing,1,0,0
Los Angeles 1984,USA,William James Iii Smith,Athletics,1,0,0
Los Angeles 1984,JPN,Yasuhiro Yamashita,Judo,1,0,0
Los Angeles 1984,USA,Christian Marlowe,Volleyball,1,0,0
Los Angeles 1984,FRA,Patrick Cubaynes,Football,1,0,0
Los Angeles 1984,FRA,Jose Toure,Football,1,0,0
Los Angeles 1984,ROU,Rodica Puscatu-Arba,Rowing,1,0,0
Los Angeles 1984,USA,Lillie Mae Leatherwood-King,Athletics,1,0,0
Los Angeles 1984,USA,Alice Regina Brown,Athletics,1,0,0
Los Angeles 1984,USA,Mitchell Jay Gaylord,Gymnastics Artistic,1,0,0
Los Angeles 1984,CAN,Kevin Neufeld,Rowing,1,0,0
Los Angeles 1984,USA,Tiffany Lisa Cohen,Swimming,1,0,0
Los Angeles 1984,YUG,Matija Ljubek,Canoe Sprint,1,0,0
Los Angeles 1984,CAN,Hugh Fisher,Canoe Sprint,1,0,0
Los Angeles 1984,JPN,Atsuji Miyahara,Wrestling,1,0,0
Los Angeles 1984,USA,Stephen Edward Hegg,Cycling Track,1,0,0
Los Angeles 1984,ITA,Andrea Borella,Fencing,1,0,0
Los Angeles 1984,USA,Carl Lewis,Athletics,1,0,0
Los Angeles 1984,USA,Michael Steward Heath,Swimming,1,0,0
Los Angeles 1984,USA,Carol Jean Menken-Schaudt,Basketball,1,0,0
Los Angeles 1984,JPN,Shinji Morisue,Gymnastics Artistic,1,0,0
Los Angeles 1984,USA,Bruce Oram Davidson,Equestrian Eventing,1,0,0
Los Angeles 1984,ROU,Maricica Puica,Athletics,1,0,0
Los Angeles 1984,USA,Robert Bentley Jr. Haines,Sailing,1,0,0
Los Angeles 1984,FRA,Pierre Quinon,Athletics,1,0,0
Los Angeles 1984,FRG,Frank Wieneke,Judo,1,0,0
Los Angeles 1984,FRG,Alexander Pusch,Fencing,1,0,0
Los Angeles 1984,USA,Bradley Alan Lewis,Rowing,1,0,0
Los Angeles 1984,JPN,Yoshiyuki Matsuoka,Judo,1,0,0
Los Angeles 1984,NZL,Shane O'Brien,Rowing,1,0,0
Los Angeles 1984,USA,Valerie Ann Brisco-Hooks,Athletics,1,0,0
Los Angeles 1984,USA,Samuel Louis Graddy,Athletics,1,0,0
Los Angeles 1984,KOR,Byeong-Geun An,Judo,1,0,0
Los Angeles 1984,CHN,Yu-Zhu Hou,Volleyball,1,0,0
Los Angeles 1984,YUG,Mirjana Ognjenovic,Handball,1,0,0
Los Angeles 1984,NZL,Ian Gordon Ferguson,Canoe Sprint,1,0,0
Los Angeles 1984,USA,Wayman Lawrence Tisdale,Basketball,1,0,0
Los Angeles 1984,CAN,Lori Fung,Gymnastics Rhythmic,1,0,0
Los Angeles 1984,USA,"Joseph Halpin, Iv Fargis",Equestrian Jumping,1,0,0
Los Angeles 1984,USA,Elizabeth Mitchell,Swimming,1,0,0
Los Angeles 1984,CHN,Ying Jiang,Volleyball,1,0,0
Los Angeles 1984,USA,Jeanette Bolden,Athletics,1,0,0
Los Angeles 1984,MEX,Raúl González,Athletics,1,0,0
Los Angeles 1984,FRA,François Brisson,Football,1,0,0
Los Angeles 1984,USA,Julianne Lyn Mcnamara,Gymnastics Artistic,1,0,0
Los Angeles 1984,USA,Karen Patricia Spurgin,Shooting,1,0,0
Los Angeles 1984,FRG,Cornelia Hanisch,Fencing,1,0,0
Los Angeles 1984,FRA,Daniel Xuereb,Football,1,0,0
Los Angeles 1984,USA,Chandra Danette Cheeseborough,Athletics,1,0,0
Los Angeles 1984,ROU,Ecaterina Oancia,Rowing,1,0,0
Los Angeles 1984,CAN,Alwyn Morris,Canoe Sprint,1,0,0
Los Angeles 1984,FRG,Zita-Eva Funkenhauser,Fencing,1,0,0
Los Angeles 1984,USA,Benita Fitzgerald-Brown,Athletics,1,0,0
Los Angeles 1984,NED,Stephan Van Den Berg,Sailing,1,0,0
Los Angeles 1984,CHN,Wei-Qiang Chen,Weightlifting,1,0,0
Los Angeles 1984,ITA,Andrea Cipressa,Fencing,1,0,0
Los Angeles 1984,YUG,Mirko Basic,Handball,1,0,0
Los Angeles 1984,PAK,Kalimullah Khan,Hockey,1,0,0
Los Angeles 1984,ROU,Toma Simionov,Canoe Sprint,1,0,0
Los Angeles 1984,YUG,Deni Lusic,Water Polo,1,0,0
Los Angeles 1984,USA,Scott Philip Johnson,Gymnastics Artistic,1,0,0
Los Angeles 1984,USA,Kristen Joy Thorssness,Rowing,1,0,0
Los Angeles 1984,USA,Joseph William Kleine,Basketball,1,0,0
Los Angeles 1984,USA,Mark Waldie,Volleyball,1,0,0
Los Angeles 1984,AUS,Dinko Lukin,Weightlifting,1,0,0
Los Angeles 1984,FRA,Patrice Garande,Football,1,0,0
Los Angeles 1984,USA,Alvin Cyrrale Robertson,Basketball,1,0,0
Los Angeles 1984,USA,Jon Francis Koncak,Basketball,1,0,0
Los Angeles 1984,YUG,Antun Josipovic,Boxing,1,0,0
Los Angeles 1984,USA,Candace Costie,Synchronized Swimming,1,0,0
Los Angeles 1984,ITA,Angelo Arcidiacono,Fencing,1,0,0
Los Angeles 1984,JPN,Hitoshi Saito,Judo,1,0,0
Los Angeles 1984,CHN,Yun Lou,Gymnastics Artistic,1,0,0
Los Angeles 1984,PAK,Saleem Sherwani,Hockey,1,0,0
Los Angeles 1984,YUG,Emilija Ercic,Handball,1,0,0
Los Angeles 1984,ROU,Petru Iosub,Rowing,1,0,0
Los Angeles 1984,CHN,Jujie Luan,Fencing,1,0,0
Los Angeles 1984,FRG,Ulrich Eicke,Canoe Sprint,1,0,0
Los Angeles 1984,USA,Jeffrey James Float,Swimming,1,0,0
Los Angeles 1984,NED,Sophie Pauline Von Weiler,Hockey,1,0,0
Los Angeles 1984,USA,Mary-Lou Retton,Gymnastics Artistic,1,0,0
Los Angeles 1984,USA,Matthew Alexander Dryke,Shooting,1,0,0
Los Angeles 1984,ITA,Giovanni Scalzo,Fencing,1,0,0
Los Angeles 1984,NZL,Alan Blair Thompson,Canoe Sprint,1,0,0
Los Angeles 1984,USA,Gregory Louganis,Diving,1,0,0
Los Angeles 1984,USA,Tracy Anne Caulkins,Swimming,1,0,0
Los Angeles 1984,ROU,Nastasia Nichitov-Ionescu,Canoe Sprint,1,0,0
Los Angeles 1984,FRG,Herbert Krug,Equestrian Dressage,1,0,0
Los Angeles 1984,PAK,Hanir Khan,Hockey,1,0,0
Los Angeles 1984,CHN,Jihong Zhou,Diving,1,0,0
Los Angeles 1984,YUG,Biserka Visnjic,Handball,1,0,0
Los Angeles 1984,PAK,Ayaz Mahmood,Hockey,1,0,0
Los Angeles 1984,USA,Edward Trevelyan,Sailing,1,0,0
Los Angeles 1984,ROU,Titie Taran,Rowing,1,0,0
Los Angeles 1984,GBR,Richard Gordon M. Budgett,Rowing,1,0,0
Los Angeles 1984,USA,Walter Lee Mccoy,Athletics,1,0,0
Los Angeles 1984,ITA,Eros Poli,Cycling Road,1,0,0
Los Angeles 1984,YUG,Milan Kalina,Handball,1,0,0
Los Angeles 1984,NED,Martine Ohr,Hockey,1,0,0
Los Angeles 1984,YUG,Igor Milanovic,Water Polo,1,0,0
Los Angeles 1984,YUG,Pavle Jurina,Handball,1,0,0
Los Angeles 1984,ROU,Ioana Badea,Rowing,1,0,0
Los Angeles 1984,CHN,Yan Liang,Volleyball,1,0,0
Los Angeles 1984,ITA,Ferdinando Meglio,Fencing,1,0,0
Los Angeles 1984,AUT,Peter Seisenbacher,Judo,1,0,0
Los Angeles 1984,YUG,Tomislav Paskvalin,Water Polo,1,0,0
Los Angeles 1984,GBR,Adrian Charles Ellison,Rowing,1,0,0
Los Angeles 1984,GBR,Malcolm Douglas Cooper,Shooting,1,0,0
Los Angeles 1984,ROU,Elena Oprea-Horvat,Rowing,1,0,0
Los Angeles 1984,NED,Alette Pos,Hockey,1,0,0
Los Angeles 1984,NZL,Leslie O'Connell,Rowing,1,0,0
Los Angeles 1984,SWE,Agneta Andersson,Canoe Sprint,1,0,0
Los Angeles 1984,NZL,Grant Bramwell,Canoe Sprint,1,0,0
Los Angeles 1984,PAK,Hassan Sardar,Hockey,1,0,0
Los Angeles 1984,USA,Jeffrey Carl Blatnick,Wrestling,1,0,0
Los Angeles 1984,YUG,Branko Strbac,Handball,1,0,0
Los Angeles 1984,FRG,Rolf Milser,Weightlifting,1,0,0
Los Angeles 1984,CAN,Mark Evans,Rowing,1,0,0
Los Angeles 1984,USA,Sunder L. Nix,Athletics,1,0,0
Los Angeles 1984,PAK,Shahid Ali Khan,Hockey,1,0,0
Los Angeles 1984,KOR,In-Tak You,Wrestling,1,0,0
Los Angeles 1984,USA,Leonard Iii Wood,Basketball,1,0,0
Los Angeles 1984,FRA,Jean-François Lamour,Fencing,1,0,0
Los Angeles 1984,FRA,William Ayache,Football,1,0,0
Los Angeles 1984,FRG,Rolf Danneberg,Athletics,1,0,0
Los Angeles 1984,CAN,Patrick Turner,Rowing,1,0,0
Los Angeles 1984,USA,Michael Jon O'Brien,Swimming,1,0,0
Los Angeles 1984,USA,Theresa Andrews,Swimming,1,0,0
Los Angeles 1984,USA,Christopher Paul Mullin,Basketball,1,0,0
Los Angeles 1984,ITA,Alberto Cova,Athletics,1,0,0
Los Angeles 1984,YUG,Ljubinka Jankovic,Handball,1,0,0
Los Angeles 1984,ITA,Alessandro Andrei,Athletics,1,0,0
Los Angeles 1984,ITA,Daniele Masala,Modern Pentathlon,1,0,0
Los Angeles 1984,USA,Antonio Ricardo Mckay,Athletics,1,0,0
Los Angeles 1984,USA,Karen Elizabeth Stives-Lende,Equestrian Eventing,1,0,0
Los Angeles 1984,FIN,Juha Tiainen,Athletics,1,0,0
Los Angeles 1984,USA,Cheryl Deann Miller,Basketball,1,0,0
Los Angeles 1984,NED,Jolanda De Rover,Swimming,1,0,0
Los Angeles 1984,USA,Karch Kiraly,Volleyball,1,0,0
Los Angeles 1984,CAN,Gerald Grant Main,Rowing,1,0,0
Los Angeles 1984,USA,James N. Hartung,Gymnastics Artistic,1,0,0
Los Angeles 1984,USA,David Erwin Larson,Swimming,1,0,0
Los Angeles 1984,YUG,Dragan Mladenovic,Handball,1,0,0
Los Angeles 1984,YUG,Zorica Pavisevic,Handball,1,0,0
Los Angeles 1984,CAN,Blair J.H. Horn,Rowing,1,0,0
Los Angeles 1984,USA,Alexi S. Grewal,Cycling Road,1,0,0
Los Angeles 1984,ROU,Doina Besliu-Melinte,Athletics,1,0,0
Los Angeles 1984,ROU,Valeria Rosca-Rasila,Rowing,1,0,0
Los Angeles 1984,SWE,Anna Olsson,Canoe Sprint,1,0,0
Los Angeles 1984,ITA,Carlo Massullo,Modern Pentathlon,1,0,0
Los Angeles 1984,FRG,Reiner Klimke,Equestrian Dressage,1,0,0
Los Angeles 1984,PAK,Manzoor Hussain,Hockey,1,0,0
Los Angeles 1984,USA,Elizabeth Ann Beard,Rowing,1,0,0
Los Angeles 1984,CAN,Anne Ottenbrite,Swimming,1,0,0
Los Angeles 1984,BRA,Joaquim Cruz,Athletics,1,0,0
Los Angeles 1984,YUG,Veselin Vujovic,Handball,1,0,0
Los Angeles 1984,USA,Matthew Biondi,Swimming,1,0,0
Los Angeles 1984,YUG,Perica Bukic,Water Polo,1,0,0
Los Angeles 1984,FRG,Karl-Heinz Radschinsky,Weightlifting,1,0,0
Los Angeles 1984,CAN,Linda Thom,Shooting,1,0,0
Los Angeles 1984,USA,Thomas Michael Jager,Swimming,1,0,0
Los Angeles 1984,PAK,Naeem Akhtar,Hockey,1,0,0
Los Angeles 1984,USA,Paul Benedict Sunderland,Volleyball,1,0,0
Los Angeles 1984,USA,Denean Elizabeth Howard-Hill,Athletics,1,0,0
Los Angeles 1984,USA,Samuel Bruce Perkins,Basketball,1,0,0
Los Angeles 1984,USA,Caroll Ann Bower,Rowing,1,0,0
Los Angeles 1984,ROU,Viorica Ioja,Rowing,1,0,0
Los Angeles 1984,ITA,Mauro Numa,Fencing,1,0,0
Los Angeles 1984,USA,David Patrick Saunders,Volleyball,1,0,0
Los Angeles 1984,FRG,Volker Fischer,Fencing,1,0,0
Los Angeles 1984,KOR,Hyung-Zoo Ha,Judo,1,0,0
Los Angeles 1984,ROU,Anisoara Sorohan-Minea,Rowing,1,0,0
Los Angeles 1984,KOR,Hyang-Soon Seo,Archery,1,0,0
Los Angeles 1984,NED,Marieke Birgitta Van Doorn,Hockey,1,0,0
Los Angeles 1984,USA,Lou Banach,Wrestling,1,0,0
Los Angeles 1984,USA,Roger Kingdom,Athletics,1,0,0
Los Angeles 1984,USA,Kathryn Elliott Keeler,Rowing,1,0,0
Los Angeles 1984,AUS,Kevin Nichols,Cycling Track,1,0,0
Los Angeles 1984,NED,Petra Van Staveren,Swimming,1,0,0
Los Angeles 1984,YUG,Mile Isakovic,Handball,1,0,0
Los Angeles 1984,USA,Michael Jordan,Basketball,1,0,0
Los Angeles 1984,USA,Denise Marie Curry,Basketball,1,0,0
Los Angeles 1984,USA,Richard Lloyd Duwelius,Volleyball,1,0,0
Los Angeles 1984,ITA,Marco Giovannetti,Cycling Road,1,0,0
Los Angeles 1984,ITA,Marcello Bartalini,Cycling Road,1,0,0
Los Angeles 1984,USA,Susan Gerard Rapp,Swimming,1,0,0
Los Angeles 1984,ROU,Simona Pauca,Gymnastics Artistic,1,0,0
Los Angeles 1984,USA,William E. Sr. Buchan,Sailing,1,0,0
Los Angeles 1984,USA,Kristine Lee Norelius,Rowing,1,0,0
Los Angeles 1984,USA,Raymond Armstead,Athletics,1,0,0
Los Angeles 1984,CHN,Guo-Qiang Zeng,Weightlifting,1,0,0
Los Angeles 1984,YUG,Mirko Nisovic,Canoe Sprint,1,0,0
Los Angeles 1984,USA,Vernon Fleming,Basketball,1,0,0
Los Angeles 1984,CAN,Sylvie Bernier,Diving,1,0,0
Los Angeles 1984,YUG,Svetlana Kitic-Dasic,Handball,1,0,0
Los Angeles 1984,ITA,Vincenzo Maenza,Wrestling,1,0,0
Los Angeles 1984,NED,Bernadette De Beus,Hockey,1,0,0
Los Angeles 1984,YUG,Zdravko Zovko,Handball,1,0,0
Los Angeles 1984,GBR,Steven Redgrave,Rowing,1,0,0
Los Angeles 1984,CAN,Michael Evans,Rowing,1,0,0
Los Angeles 1984,FRG,Michael Dursch,Rowing,1,0,0
Los Angeles 1984,YUG,Dragica Djuric,Handball,1,0,0
Los Angeles 1984,USA,Evelyn Ashford,Athletics,1,0,0
Los Angeles 1984,CHN,Yan-Hong Ma,Gymnastics Artistic,1,0,0
Los Angeles 1984,USA,Teresa Edwards,Basketball,1,0,0
Los Angeles 1984,YUG,Zoran Roje,Water Polo,1,0,0
Los Angeles 1984,USA,Edward Etzel,Shooting,1,0,0
Los Angeles 1984,FRA,Dominique Bijotat,Football,1,0,0
Los Angeles 1984,CHN,Mei-Zhu Zheng,Volleyball,1,0,0
Los Angeles 1984,USA,Steven Richard Erickson,Sailing,1,0,0
Los Angeles 1984,NZL,Russell Coutts,Sailing,1,0,0
Los Angeles 1984,FRA,Philippe Jeannol,Football,1,0,0
Los Angeles 1984,MEX,Ernesto Canto Gudino,Athletics,1,0,0
Los Angeles 1984,GBR,Martin Cross,Rowing,1,0,0
Los Angeles 1984,USA,Joan Benoit,Athletics,1,0,0
Los Angeles 1984,USA,Carolyn Steinseifer,Swimming,1,0,0
Los Angeles 1984,NED,Elisabeth Anthonius Sevens,Hockey,1,0,0
Los Angeles 1984,USA,Ed Banach,Wrestling,1,0,0
Los Angeles 1984,ITA,Gianfranco Dalla Barba,Fencing,1,0,0
Los Angeles 1984,NED,Anneloes Nieuwenhuizen,Hockey,1,0,0
Los Angeles 1984,YUG,Jasna Ptujec,Handball,1,0,0
Los Angeles 1984,USA,Robin John Leamy,Swimming,1,0,0
Los Angeles 1984,FRG,Elmar Borrmann,Fencing,1,0,0
Los Angeles 1984,ROU,Elisabeta Lipa-Oleniuc,Rowing,1,0,0
Los Angeles 1984,YUG,Zdravko Radjenovic,Handball,1,0,0
Los Angeles 1984,ROU,Florica Lavric,Rowing,1,0,0
Los Angeles 1984,PAK,Syed Ghulam Moinuddin,Hockey,1,0,0
Los Angeles 1984,ITA,Pier Paolo Cristofori,Modern Pentathlon,1,0,0
Los Angeles 1984,NZL,Christopher Timms,Sailing,1,0,0
Los Angeles 1984,FRG,Michael Gross,Swimming,1,0,0
Los Angeles 1984,CHN,Yuwei Li,Shooting,1,0,0
Los Angeles 1984,USA,Steven K. Lundquist,Swimming,1,0,0
Los Angeles 1984,USA,Mark Philip Schultz,Wrestling,1,0,0
Los Angeles 1984,USA,Roderick Hopkins Davis,Sailing,1,0,0
Los Angeles 1984,YUG,Zoran Petrovic,Water Polo,1,0,0
Los Angeles 1984,CHN,Xiao-Xuan Wu,Shooting,1,0,0
Los Angeles 1984,KOR,Jun-Seop Sin,Boxing,1,0,0
Los Angeles 1984,FRG,Dietmar Mögenburg,Athletics,1,0,0
Los Angeles 1984,USA,Carolyn Brand Graves,Rowing,1,0,0
Los Angeles 1984,YUG,Bozo Vuletic,Water Polo,1,0,0
Los Angeles 1984,PAK,Nasir Ali,Hockey,1,0,0
Los Angeles 1984,CHN,Ping Lang,Volleyball,1,0,0
Los Angeles 1984,YUG,Momir Rnic,Handball,1,0,0
Los Angeles 1984,ROU,Cristina Elena Grigoras,Gymnastics Artistic,1,0,0
Los Angeles 1984,CHN,Yan-Jun Li,Volleyball,1,0,0
Los Angeles 1984,USA,Leslie Michele Burr-Howard,Equestrian Jumping,1,0,0
Los Angeles 1984,CHN,Ning Li,Gymnastics Artistic,1,0,0
Los Angeles 1984,USA,Steven Howard Fraser,Wrestling,1,0,0
Los Angeles 1984,YUG,Milorad Krivokapic,Water Polo,1,0,0
Los Angeles 1984,USA,Dara Torres,Swimming,1,0,0
Los Angeles 1984,ROU,Ion Draica,Wrestling,1,0,0
Los Angeles 1984,USA,George Thomas Dicarlo,Swimming,1,0,0
Los Angeles 1984,USA,David Dennis Wilson,Swimming,1,0,0
Los Angeles 1984,NZL,Keith Trask,Rowing,1,0,0
Los Angeles 1984,FRA,Albert Rust,Football,1,0,0
Los Angeles 1984,USA,Ludi Lea Henry,Basketball,1,0,0
Los Angeles 1984,USA,Robert Brooks Weaver,Wrestling,1,0,0
Los Angeles 1984,GBR,Andrew John Holmes,Rowing,1,0,0
Los Angeles 1984,FRG,Raimund Hormann,Rowing,1,0,0
Los Angeles 1984,PAK,Abdul Rashid Al-Hasan,Hockey,1,0,0
Los Angeles 1984,FRA,Jean-Claude Lemoult,Football,1,0,0
Los Angeles 1984,FRG,Sabine Bischoff,Fencing,1,0,0
Los Angeles 1984,USA,David Leslie Schultz,Wrestling,1,0,0
Los Angeles 1984,USA,Conrad E. Homfeld,Equestrian Jumping,1,0,0
Los Angeles 1984,USA,Henry Tillman,Boxing,1,0,0
Los Angeles 1984,CHN,Xi-Lan Yang,Volleyball,1,0,0
Los Angeles 1984,NED,Laurien Willemse,Hockey,1,0,0
Los Angeles 1984,USA,Janice Faye Lawrence,Basketball,1,0,0
Los Angeles 1984,CAN,Alexander Baumann,Swimming,1,0,0
Los Angeles 1984,USA,Mary T. Meagher,Swimming,1,0,0
Los Angeles 1984,CAN,Robert Brian Mcmahon,Rowing,1,0,0
Los Angeles 1984,CAN,Paul Steele,Rowing,1,0,0
Los Angeles 1984,FRA,Didier Senac,Football,1,0,0
Los Angeles 1984,USA,Pernell Whitaker,Boxing,1,0,0
Los Angeles 1984,NED,Margriet Zegers,Hockey,1,0,0
Los Angeles 1984,USA,Jeffrey Stephen Turner,Basketball,1,0,0
Los Angeles 1984,USA,William Carl Jr. Buchan,Sailing,1,0,0
Los Angeles 1984,FRG,Rafael Nickel,Fencing,1,0,0
Los Angeles 1984,KEN,Julius Korir,Athletics,1,0,0
Los Angeles 1984,NZL,Rex Samuel Sellers,Sailing,1,0,0
Los Angeles 1984,USA,Anne Theresa Donovan,Basketball,1,0,0
Los Angeles 1984,NED,Francisca Hillen,Hockey,1,0,0
Los Angeles 1984,USA,Nancy Lynn Hogshead,Swimming,1,0,0
Los Angeles 1984,USA,John Michael Plumb,Equestrian Eventing,1,0,0
Los Angeles 1984,YUG,Ljiljana Mugosa,Handball,1,0,0
Los Angeles 1984,ROU,Maria Stefan,Canoe Sprint,1,0,0
Los Angeles 1984,ITA,Luciano Giovannetti,Shooting,1,0,0
Los Angeles 1984,ROU,Marioara Popescu,Rowing,1,0,0
Los Angeles 1984,YUG,Alenka Cuderman,Handball,1,0,0
Los Angeles 1984,ITA,Marco Marin,Fencing,1,0,0
Los Angeles 1984,NED,Irene Hendriks,Hockey,1,0,0
